study,read_length,left_trim,right_trim
han2020,47,45,45
han2020,48,46,46
han2020,49,45,45
han2020,50,45,45
han2020,51,45,45
han2020,52,46,46
han2020,53,45,45
han2020,54,48,48
han2020,55,40,40
han2020,56,41,41
han2020,57,42,42
han2020,58,45,45
han2020,59,45,45
han2020,60,45,45
han2020,61,46,46
han2020,62,47,47
han2020,63,48,48
han2020,64,49,49
han2020,65,49,49
han2020,66,50,50
han2020,20,15,15
han2020,21,15,15
han2020,22,16,16
han2020,23,15,15
han2020,24,15,15
han2020,25,15,15
han2020,26,15,15
han2020,27,15,15
han2020,28,15,15
han2020,29,15,15
han2020,30,15,15
han2020,31,16,16
han2020,32,16,16
han2020,33,17,17
